GI	Eco_Ctrl1	Eco_Ctrl2	Eco_Exp1	Eco_Exp2
b1220	0	2	1	0
b1221	0	1	5	0
b1222	2	1	14	6
b1223	0	0	2	0
b1224	0	0	2	0
b1225	2	0	2	0
b1226	1	1	1	3
b1227	0	0	1	0
b1228	0	0	0	0
b1229	0	0	0	1
b1232	2	1	4	0
b1233	2	1	3	1
b1234	0	0	4	3
b1235	0	0	4	0
b1236	1	4	21	6
b1237	28	10	158	19
b1238	1	0	1	0
b1241	31	24	62	27
b1242	2	0	4	1
b1243	35	16	122	41
b1244	0	0	3	0
b1245	1	2	5	0
b1246	0	1	8	0
b1247	3	1	9	2
b1248	3	0	18	8
b1249	5	1	13	6
b1250	1	0	0	0
b1251	8	2	30	8
b1252	10	1	26	10
b1253	0	0	4	0
b1254	8	2	22	3
b1255	3	2	20	8
b1256	0	0	0	0
b1257	0	0	1	0
b1258	0	0	0	0
b1259	0	0	1	0
b1260	13	7	46	11
b1261	34	13	70	18
b1262	34	14	59	10
b1263	19	9	33	11
b1264	32	21	47	15
b1265	1	1	1	0
b1266	2	0	6	0
b1267	2	1	17	3
b1268	0	0	11	1
b1269	31	4	52	13
b1270	0	0	0	0
b1271	1	0	8	3
b1272	7	5	38	6
b1273	0	1	0	0
b1274	20	7	12	7
b1275	0	0	8	0
b1276	3	0	6	3
b1277	4	2	32	7
b1278	3	0	5	0
b1279	10	1	17	8
b1280	4	0	11	2
b1281	7	2	49	25
b1282	3	0	8	2
b1283	2	0	8	2
b1284	0	0	5	0
b1285	0	0	2	0
b1286	15	2	51	13
b1287	1	2	15	4
b1288	22	5	62	28
b1289	0	0	0	0
b1290	0	0	1	0
b1291	0	0	1	0
b1292	1	1	3	2
b1293	0	0	0	0
b1294	1	0	2	2
b1295	0	1	1	0
b1296	2	0	2	0
b1297	2	0	8	5
b1298	0	0	8	1
b1299	0	0	4	2
b1300	0	0	1	1
b1301	0	0	2	2
b1302	0	0	2	1
b1303	0	0	1	0
b1304	2	2	25	2
b1305	0	3	1	2
b1306	0	2	9	1
b1307	1	0	2	0
b1308	0	1	4	0
b1309	0	0	0	0
b1310	0	0	0	0
b1311	0	0	0	0
b1312	0	0	0	0
b1313	0	0	0	1
b1314	0	0	0	0
b1315	0	0	0	0
b1316	0	0	0	0
b1317	0	0	0	0
b1318	0	0	0	0
b1319	0	0	1	0
b1320	0	1	0	0
b1321	0	1	3	2
b1322	0	1	3	0
b1323	3	2	17	3
b1324	19	4	62	15
b1325	3	1	1	0
b1326	0	1	0	0
b1327	1	0	0	0
b1328	0	0	0	0
b1329	2	1	1	0
b1330	0	0	0	0
b1331	4	0	0	0
b1332	5	1	5	0
b1333	8	1	7	0
b1334	18	6	63	8
b1335	1	1	1	0
b1336	0	0	1	0
b1337	0	0	0	0
b1338	0	0	0	0
b1339	0	0	0	0
b1340	1	0	0	0
b1341	1	0	1	0
b1342	2	0	1	0
b1343	5	0	0	0
b1344	11	1	3	0
b1345	2	0	0	0
b1346	0	0	0	0
b1347	0	0	0	0
b1348	0	0	0	0
b1349	0	0	0	0
b1350	0	0	0	0
b1351	0	0	0	0
b1352	0	0	0	0
b1353	0	0	0	0
b1355	0	0	0	0
b1356	3	0	1	0
b1357	0	0	0	0
b1358	0	0	0	0
b1359	0	0	0	0
b1360	0	0	0	0
b1361	0	0	0	0
b1362	1	0	0	0
b1363	0	0	0	0
b1365	0	0	0	0
b1366	0	0	0	0
b1368	0	0	0	0
b1370	1	0	1	0
b1372	0	0	0	0
b1373	1	0	0	0
b1374	1	0	0	0
b1375	0	0	0	0
b1376	0	0	0	0
b1377	0	0	0	0
b1378	0	2	0	0
b1379	0	2	0	0
b1380	9	5	7	8
b1381	1	0	0	0
b1382	0	0	0	0
b1383	0	0	0	0
b1384	0	0	0	0
b1385	2	0	2	1
b1386	0	0	0	0
b1387	0	0	0	0
b1388	0	0	0	0
b1389	0	0	0	0
b1390	0	0	0	0
b1391	0	0	0	0
b1392	0	0	0	0
b1393	0	0	0	0
b1394	0	0	0	0
b1395	0	0	0	0
b1396	0	0	0	0
b1397	0	0	0	0
b1398	0	0	0	0
b1399	1	1	0	0
b1400	0	1	0	0
b1402	0	0	0	0
b1403	0	0	0	0
b1404	0	0	0	0
b1406	1	0	0	0
b1407	0	0	0	0
b1408	0	0	0	0
b1409	0	0	0	0
b1410	0	1	0	0
b1411	1	0	0	0
b1412	3	3	9	5
b1413	6	2	16	5
b1414	2	0	12	1
b1415	2	0	14	2
b1418	1	1	11	2
b1419	0	0	1	0
b1420	1	0	2	2
b1421	1	0	0	0
b1422	4	5	16	8
b1423	0	0	2	0
b1424	0	1	7	1
b1426	1	1	0	0
b1427	0	0	2	0
b1428	0	0	1	0
b1429	0	1	14	8
b1430	0	0	3	2
b1431	2	0	0	0
b1432	5	4	5	5
b1433	0	0	1	0
b1434	0	2	0	0
b1435	0	1	20	4
b1436	0	0	2	1
b1438	0	0	2	1
b1439	0	0	0	0
b1440	0	0	0	0
b1441	0	0	0	0
b1442	1	0	0	0
b1443	1	0	0	0
b1444	1	1	0	0
b1445	1	0	0	0
b1446	1	0	2	0
b1447	1	0	0	0
b1448	1	2	1	0
b1449	3	0	4	0
b1450	0	0	0	0
b1451	0	0	1	0
b1452	43	12	14	4
b1453	0	0	0	0
b1454	0	0	0	0
b1455	0	0	0	0
b1456	1	0	0	0
b1457	0	0	0	0
b1459	0	0	0	0
b1460	1	0	0	0
b1461	0	0	0	0
b1462	0	0	0	0
b1463	0	2	0	0
b1464	1	1	0	1
b1465	0	0	0	0
b1466	0	0	0	0
b1467	0	0	0	0
b1468	1	0	0	0
b1469	0	0	0	0
b1470	0	0	0	0
b1471	0	0	0	0
b1472	0	0	0	0
b1473	0	0	0	0
b1474	0	0	1	0
b1475	0	0	0	0
b1476	1	1	1	0
b1477	0	0	0	0
b1478	3	3	2	0
b1479	0	1	2	1
b1480	0	3	8	1
b1481	0	0	0	0
b1482	6	1	6	1
b1483	0	0	1	0
b1484	0	0	0	0
b1485	0	0	0	0
b1486	0	0	0	0
b1487	0	0	1	0
b1488	0	0	0	0
b1489	0	0	0	0
b1490	1	0	2	0
b1491	1	1	8	1
b1492	3	0	3	1
b1493	2	1	4	0
b1494	0	1	1	1
b1495	0	0	2	0
b1496	0	0	0	0
b1497	0	0	0	0
b1498	0	0	0	1
b1499	0	0	0	0
b1500	0	0	0	0
b1501	0	0	1	0
b1502	0	0	0	0
b1503	0	0	0	0
b1504	0	0	0	0
b1505	0	0	0	0
b1506	0	0	0	0
b1507	1	0	0	0
b1508	0	0	0	0
b1511	1	0	2	1
b1512	0	0	3	2
b1513	0	0	0	0
b1514	0	0	0	0
b1515	0	0	0	0
b1516	0	0	0	0
b1517	0	0	0	0
b1518	0	0	0	0
b1519	2	0	2	0
b1520	0	0	1	1
b1521	0	0	16	4
b1522	2	1	4	2
b1523	0	0	0	0
b1524	2	0	4	3
b1525	0	2	2	4
b1526	0	0	3	0
b1527	0	0	0	0
b1528	6	1	4	3
b1529	3	0	5	3
b1530	1	0	1	0
b1531	0	1	6	0
b1532	0	0	0	0
b1533	3	0	3	1
b1534	1	0	0	1
b1535	0	1	11	2
b1536	0	0	0	0
b1537	0	0	1	0
b1538	2	0	13	5
b1539	5	2	4	0
b1540	1	0	1	0
b1541	0	0	0	0
b1542	1	0	0	1
b1543	0	0	0	0
b1544	0	0	0	1
b1545	0	0	0	0
b1546	0	0	0	0
b1547	0	0	0	0
b1548	0	0	0	0
b1549	0	0	0	0
b1550	0	0	0	0
b1551	0	0	0	0
b1552	3	0	1	0
b1553	0	0	0	0
b1554	0	0	0	0
b1555	0	0	0	0
b1556	0	0	0	0
b1557	24	4	12	4
b1558	0	0	0	0
b1559	0	0	0	0
b1560	0	0	0	0
b1561	2	0	0	0
b1562	6	0	0	1
b1563	6	1	1	0
b1564	4	1	0	0
b1565	0	0	0	0
b1566	0	0	0	0
b1567	0	0	0	0
b1568	0	0	0	0
b1569	0	0	0	0
b1570	2	1	2	0
b1571	0	0	0	0
b1572	0	0	0	0
b1573	0	0	0	0
b1575	0	0	0	0
b1576	0	0	0	0
b1577	0	0	0	0
b1578	1	0	0	0
b1579	0	0	0	0
b1580	1	0	25	16
b1581	1	0	60	17
b1582	0	0	1	0
b1583	4	1	11	0
b1584	2	0	11	3
b1585	1	0	3	2
b1586	0	0	0	0
b1587	0	0	0	0
b1588	0	0	0	0
b1589	0	0	0	0
b1590	0	0	5	1
b1591	0	0	11	3
b1592	0	0	0	1
b1593	0	0	6	0
b1594	0	0	2	1
b1595	1	1	1	0
b1596	1	0	5	0
b1597	0	0	0	0
b1598	1	2	7	0
b1599	0	0	0	0
b1600	0	0	1	0
b1601	0	0	1	1
b1602	24	9	47	21
b1603	10	8	73	17
b1604	12	5	46	11
b1605	3	4	6	2
b1606	0	0	1	0
b1607	0	0	4	3
b1608	1	2	6	4
b1609	0	0	0	2
b1610	0	1	1	0
b1611	0	0	0	1
b1612	3	1	17	2
b1613	1	0	3	0
b1614	3	1	23	4
b1615	0	0	0	0
b1616	0	0	0	0
b1617	0	0	0	0
b1618	3	0	2	0
b1619	2	1	5	0
b1620	1	3	3	4
b1621	1	1	0	0
b1622	3	0	4	1
b1623	1	1	2	0
b1624	2	2	9	2
b1625	0	1	2	3
b1626	5	2	11	3
b1627	10	1	21	7
b1628	6	0	10	4
b1629	0	2	3	2
b1630	0	0	1	1
b1631	0	0	0	0
b1632	1	0	2	2
b1633	0	0	0	0
b1634	4	3	11	3
b1635	8	3	28	10
b1636	1	0	0	0
b1637	16	6	60	20
b1638	0	0	5	0
b1639	2	0	5	0
b1640	2	2	19	7
b1641	34	13	86	38
b1642	0	1	20	4
b1643	0	0	0	0
b1644	0	0	0	0
b1645	0	0	0	0
b1646	0	0	1	0
b1647	3	3	8	1
b1648	0	0	0	0
b1649	0	0	0	0
b1650	1	0	2	2
b1651	3	2	9	1
b1652	1	0	4	1
b1653	2	0	0	0
b1654	13	2	46	17
b1655	0	0	1	0
b1656	2	0	15	4
b1657	8	3	11	8
b1658	20	7	81	21
b1659	0	1	2	1
b1660	1	0	2	0
b1661	5	3	31	10
b1662	6	2	7	3
b1663	19	6	46	16
b1664	6	1	17	3
b1667	1	1	10	12
b1668	0	1	0	1
b1669	0	0	1	0
b1670	0	0	1	0
b1671	0	0	1	0
b1672	0	0	0	0
b1673	0	0	0	0
b1674	0	0	0	0
b1675	0	1	2	0
b1676	12	5	30	15
b1677	122	35	670	140
b1678	2	4	1	0
b1679	0	0	1	0
b1680	7	2	3	1
b1681	5	4	9	1
b1682	1	0	2	2
b1683	17	3	12	4
b1684	24	9	16	10
b1685	3	3	4	1
b1686	1	0	2	0
b1687	3	7	16	5
b1688	5	5	20	10
b1689	0	0	0	0
b1690	0	0	0	0
b1691	0	0	0	0
b1692	1	0	2	0
b1693	0	0	3	0
b1694	0	0	0	0
b1695	0	0	0	0
b1696	0	0	1	0
b1697	0	0	1	0
b1698	0	0	1	0
b1699	0	0	1	0
b1700	0	0	0	0
b1701	0	0	0	0
b1702	12	9	68	15
b1703	0	0	3	1
b1704	6	3	9	1
b1705	1	1	5	1
b1706	19	3	15	4
b1707	0	0	1	1
b1708	2	0	9	4
b1709	2	0	1	0
b1710	0	2	5	0
b1711	1	0	10	1
b1712	40	4	100	35
b1713	45	24	96	29
b1714	13	7	39	12
b1715	2	1	1	4
b1716	33	11	246	25
b1717	2	4	44	8
b1718	32	9	230	20
b1719	32	11	187	56
b1722	2	0	11	0
b1723	3	0	10	2
b1724	1	0	1	2
b1725	1	0	2	0
b1726	1	1	8	2
b1727	0	0	8	4
b1728	0	0	0	0
b1729	18	13	73	31
b1730	0	0	1	0
b1731	1	1	1	2
b1732	6	4	2	0
b1733	1	1	7	1
b1734	1	0	2	0
b1735	0	0	1	0
b1736	1	0	3	1
b1737	0	0	0	0
b1738	0	1	2	0
b1739	11	0	13	4
b1740	4	4	7	6
b1741	0	0	3	1
b1742	0	0	1	0
b1743	0	0	0	1
b1744	0	0	2	0
b1745	0	0	0	0
b1746	4	0	4	1
b1747	1	0	0	0
b1748	4	0	6	5
b1749	3	0	10	4
b1750	0	0	0	0
b1751	0	0	0	0
b1752	0	0	2	0
b1753	1	0	1	0
b1754	0	0	3	2
b1755	0	0	0	0
b1756	1	0	0	0
b1757	0	1	1	0
b1758	0	1	3	0
b1759	0	0	1	0
b1760	0	0	0	0
b1761	11	5	43	14
b1762	0	0	0	0
b1763	1	1	0	0
b1764	3	2	11	3
b1765	1	1	4	4
b1766	2	3	20	4
b1767	0	0	7	1
b1768	1	0	2	0
b1769	0	0	0	1
b1770	0	1	1	0
b1771	0	0	3	0
b1772	0	0	0	0
b1773	0	0	0	0
b1774	0	0	0	0
b1775	0	0	0	0
b1776	0	0	0	0
b1777	3	1	9	3
b1778	8	1	47	9
b1779	94	28	378	99
b1780	0	0	0	1
b1781	1	0	4	0
b1782	23	9	72	18
b1783	11	4	2	0
b1784	1	0	0	0
b1785	0	0	0	0
b1786	2	0	1	1
b1787	1	0	11	3
b1788	0	0	0	0
b1789	0	1	3	0
b1790	0	0	1	0
b1791	1	0	1	0
b1792	3	1	3	2
b1793	0	0	0	1
b1794	2	5	10	3
b1795	6	2	2	1
b1796	0	2	3	2
b1797	1	1	5	3
b1798	0	0	0	0
b1799	0	0	0	1
b1800	0	0	2	2
b1801	0	0	0	0
b1802	0	0	0	0
b1803	0	0	0	0
b1804	5	1	18	8
b1805	2	1	1	5
b1806	2	2	15	3
b1807	4	0	10	3
b1808	0	0	4	4
b1809	3	0	7	5
b1810	1	0	1	1
b1811	0	0	4	1
b1812	0	0	8	1
b1813	2	1	4	1
b1814	10	3	53	18
b1815	0	0	0	0
b1816	5	0	13	2
b1817	8	1	14	8
b1818	1	2	11	4
b1819	10	7	20	9
b1820	0	0	1	0
b1821	0	0	1	0
b1822	0	0	6	1
b1823	8	5	24	11
b1824	2	2	17	2
b1825	3	0	19	2
b1826	1	1	1	0
b1827	5	3	17	7
b1828	0	0	0	0
b1829	14	5	89	27
b1830	15	5	55	21
b1831	18	5	85	29
b1832	3	1	11	0
b1833	0	0	5	0
b1834	2	2	6	0
b1835	0	0	2	1
b1836	2	0	1	0
b1837	1	1	1	0
b1838	0	0	1	0
b1839	0	0	2	1
b1840	3	0	10	2
b1841	0	1	11	3
b1842	0	0	10	2
b1843	0	0	1	1
b1844	6	3	14	3
b1845	0	1	0	0
b1846	0	0	5	2
b1847	7	5	16	3
b1848	8	5	11	1
b1849	9	5	26	7
b1850	7	4	34	7
b1851	10	3	19	12
b1852	7	6	37	9
b1853	1	0	6	1
b1854	6	4	31	7
b1855	2	1	7	4
b1856	2	0	8	5
b1857	2	1	11	1
b1858	5	2	9	1
b1859	3	1	3	0
b1860	4	1	8	5
b1861	7	2	12	8
b1862	0	0	0	0
b1863	4	3	9	2
b1864	6	2	13	4
b1865	5	3	7	1
b1866	49	10	100	37
b1867	2	0	3	1
b1868	0	0	1	0
b1869	0	1	3	3
b1870	2	1	5	4
b1871	3	2	7	2
b1872	1	0	2	1
b1873	0	0	0	0
b1874	3	1	10	0
b1875	10	0	12	5
b1876	48	4	128	34
b1877	0	0	0	0
b1878	0	0	0	0
b1879	0	1	0	0
b1880	1	0	0	0
b1881	0	0	0	0
b1882	0	0	0	0
b1883	0	0	0	0
b1884	0	0	0	0
b1885	0	0	0	0
b1886	0	0	0	0
b1887	0	0	0	0
b1888	0	0	0	0
b1889	0	0	0	0
b1890	0	0	0	0
b1891	0	0	0	0
b1892	0	1	0	0
b1893	1	0	0	0
b1894	1	0	0	0
b1895	0	0	0	0
b1896	2	0	5	5
b1897	1	0	1	2
b1900	0	0	0	0
b1901	0	0	0	0
b1902	0	0	2	0
b1904	0	0	0	0
b1905	1	0	3	1
b1906	0	0	0	0
b1907	0	0	2	2
b1908	4	2	36	16
b1912	0	0	6	4
b1913	0	1	3	0
b1914	2	0	16	0
b1915	0	0	4	1
b1916	1	0	1	1
b1917	0	2	4	0
b1918	1	0	0	0
b1919	2	2	2	1
b1920	11	4	4	0
b1921	0	0	0	0
b1922	0	0	0	0
b1923	1	1	0	1
b1924	0	0	0	0
b1925	0	0	0	0
b1926	0	0	0	0
b1927	2	1	0	1
b1928	6	6	3	0
b1929	4	3	1	1
b1930	0	0	0	0
b1931	0	0	0	0
b1932	0	0	0	0
b1936	0	0	0	0
b1937	0	0	0	0
b1938	0	0	0	0
b1939	0	0	0	0
b1940	0	0	0	0
b1941	0	0	0	0
b1942	0	0	0	0
b1943	0	0	0	0
b1944	0	0	0	0
b1945	0	0	1	0
b1946	0	0	0	0
b1947	0	0	0	0
b1948	0	0	0	0
b1949	0	0	0	0
b1950	0	0	0	0
b1951	0	0	23	1
b1952	0	2	2	2
b1953	0	1	1	0
b1955	0	0	0	0
b1956	0	0	0	0
b1957	1	2	0	0
b1958	2	2	10	5
b1959	0	0	0	0
b1960	1	0	1	0
b1961	0	2	6	0
b1962	1	2	12	6
b1963	2	0	3	2
b1967	3	0	11	3
b1968	0	0	0	0
b1969	0	0	1	0
b1970	0	0	0	0
b1971	0	1	6	1
b1972	1	0	3	1
b1973	0	0	0	0
b1974	0	0	0	0
b1976	2	2	12	2
b1978	0	0	5	0
b1981	17	6	20	14
b1982	3	0	13	3
b1983	0	0	5	0
b1985	0	0	1	0
b1987	1	0	4	5
b1988	0	0	0	0
b1990	1	0	4	0
b1991	1	1	8	4
b1992	3	1	15	10
b1993	1	0	8	2
b1994	1	0	0	0
b1996	0	0	0	0
b1997	0	0	0	0
b1999	1	0	0	0
b2000	3	1	0	0
b2001	0	0	0	0
b2002	0	0	0	0
b2003	0	0	0	0
b2004	0	0	0	0
b2005	0	0	0	0
b2006	0	0	0	0
b2007	5	3	4	1
b2008	1	0	1	0
b2009	0	1	2	0
b2010	3	0	3	1
b2011	0	0	0	0
b2012	2	0	9	5
b2013	8	6	47	14
b2014	15	2	41	10
b2015	0	1	4	3
b2016	5	3	28	11
b2017	2	0	16	2
b2018	0	0	1	0
b2019	8	3	24	7
b2020	10	7	29	9
b2021	1	2	8	3
b2022	4	0	14	3
b2023	5	1	4	4
b2024	3	2	10	1
b2025	3	0	1	0
b2026	2	0	4	1
b2027	12	2	77	26
b2028	1	0	15	2
b2029	20	2	59	15
b2030	0	1	0	0
b2032	0	1	0	0
b2033	1	0	3	0
b2034	4	2	1	0
b2035	2	0	0	0
b2036	1	0	5	2
b2037	1	0	1	0
b2038	1	1	1	0
b2039	2	1	2	0
b2040	5	5	1	1
b2041	7	1	4	1
b2042	14	7	4	3
b2043	0	0	1	0
b2044	0	0	0	0
b2045	0	0	0	0
b2046	0	0	0	0
b2047	0	0	0	0
b2048	0	0	0	0
b2049	0	0	0	0
b2050	0	0	0	0
b2051	0	0	0	0
b2052	0	0	0	0
b2053	1	0	0	0
b2054	0	0	0	0
b2055	0	0	0	0
b2056	0	0	0	0
b2057	0	0	0	0
b2058	0	0	0	0
b2059	0	0	0	0
b2060	0	0	0	0
b2061	0	0	0	0
b2062	0	0	0	0
b2063	2	0	6	0
b2064	5	2	13	2
b2065	9	3	21	19
b2066	0	0	4	0
b2067	1	1	1	0
b2068	1	1	3	1
b2069	18	7	14	6
b2070	0	1	0	0
b2071	0	0	0	0
b2072	0	0	1	0
b2073	0	0	3	1
b2074	0	0	1	1
b2075	0	0	1	1
b2076	0	0	0	0
b2077	1	0	1	0
b2078	0	1	0	0
b2079	2	1	5	5
b2080	0	0	2	0
b2081	9	4	1	2
b2082	0	0	0	0
b2083	0	0	0	0
b2085	0	0	0	0
b2086	0	1	0	0
b2088	0	0	0	0
b2089	0	0	0	0
b2091	1	2	1	0
b2092	4	0	3	0
b2093	0	0	1	0
b2094	0	1	0	0
b2095	3	1	4	0
b2096	28	14	11	5
b2097	12	6	2	2
b2098	0	0	0	0
b2099	0	0	1	0
b2100	1	0	1	0
b2101	0	0	1	0
b2102	1	0	4	1
b2103	11	2	38	19
b2104	6	0	27	15
b2105	0	0	1	1
b2106	0	0	4	1
b2107	0	0	4	2
b2108	0	0	0	0
b2109	0	0	1	0
b2110	0	0	0	0
b2111	0	0	0	0
b2112	0	0	0	0
b2113	8	2	42	7
b2114	9	7	41	13
b2115	0	0	1	1
b2118	0	0	0	0
b2119	0	0	0	0
b2120	0	0	0	0
b2121	0	0	0	0
b2122	0	0	0	0
b2123	0	0	0	0
b2124	2	0	1	0
b2125	0	2	0	0
b2126	0	0	0	1
b2127	0	0	0	0
b2128	0	0	0	0
b2129	0	0	0	0
b2130	1	0	0	0
b2131	4	2	1	0
b2132	4	3	2	1
b2133	7	1	0	0
b2134	1	0	0	0
b2135	2	3	0	0
b2136	1	1	0	0
b2137	2	0	1	0
b2139	0	0	0	0
b2140	4	3	2	0
b2141	1	0	0	0
b2142	4	1	0	0
b2143	9	2	0	0
b2144	2	0	0	0
b2145	2	0	0	0
b2146	0	0	0	0
b2147	0	0	0	0
b2148	0	0	1	0
b2149	0	0	0	0
b2150	0	0	1	2
b2151	4	1	1	0
b2152	2	0	4	1
b2153	8	1	19	9
b2154	0	0	3	1
b2155	111	36	282	63
b2156	14	4	16	5
b2157	3	2	7	3
b2158	6	2	29	11
b2159	2	0	7	3
b2160	0	0	1	0
b2161	1	0	0	0
b2162	0	0	0	0
b2163	0	0	0	0
b2164	0	0	3	0
b2165	0	0	0	0
b2166	0	0	1	0
b2167	2	0	5	2
b2168	0	0	3	0
b2169	5	2	4	2
b2170	0	1	4	0
b2171	7	1	20	5
b2172	1	1	8	1
b2173	0	2	2	2
b2174	1	0	3	0
b2175	9	4	23	3
b2176	0	0	2	1
b2177	0	0	3	0
b2178	0	0	0	0
b2179	0	0	0	0
b2180	1	0	0	0
b2181	12	2	46	19
b2182	0	0	3	2
b2183	7	2	19	6
b2184	1	0	3	1
b2185	70	22	341	62
b2186	14	6	46	9
b2187	1	2	3	2
b2188	3	3	5	4
b2190	2	0	0	0
b2192	2	0	0	0
b2193	1	1	18	4
b2194	0	1	1	1
b2195	0	0	1	0
b2196	0	0	0	0
b2197	0	0	2	0
b2198	0	0	1	1
b2199	2	0	4	3
b2200	0	0	1	1
b2201	0	0	3	0
b2202	0	0	3	0
b2203	0	0	0	0
b2204	0	0	0	0
b2205	0	0	1	1
b2206	0	0	1	0
b2207	0	0	1	0
b2208	0	0	0	0
b2209	1	1	5	2
b2210	19	7	44	19
b2211	6	1	33	4
b2212	0	0	1	0
b2213	0	0	1	0
b2214	0	1	3	1
b2215	91	27	298	73
b2216	4	3	17	2
b2217	11	3	42	14
b2218	1	1	7	2
b2219	0	0	1	0
b2220	0	0	0	0
b2221	0	0	0	0
b2222	0	0	0	0
b2223	0	0	0	0
b2224	1	0	0	0
b2225	0	0	0	0
b2226	0	0	0	0
b2229	0	0	0	0
b2230	0	0	0	0
b2231	52	15	182	50
b2232	2	1	10	3
b2233	2	0	7	1
b2234	13	1	18	5
b2235	6	0	17	8
b2236	0	0	1	1
b2237	3	0	0	0
b2238	0	0	0	0
b2239	1	0	9	2
b2240	1	0	5	2
b2241	0	0	0	0
b2242	0	0	2	0
b2243	0	0	1	0
b2244	1	0	11	1
b2245	0	0	2	0
b2246	0	0	1	0
b2247	0	0	0	0
b2248	0	0	0	0
b2249	7	1	16	7
b2250	1	0	9	1
b2251	0	0	0	0
b2252	0	0	0	0
b2253	0	0	0	0
b2254	0	0	0	0
b2255	2	0	1	0
b2256	0	1	1	0
b2257	0	1	1	0
b2258	0	0	0	0
b2259	1	0	2	1
b2260	0	0	0	0
b2261	2	2	11	3
b2262	6	0	13	6
b2263	0	0	0	0
b2264	0	1	1	0
b2265	0	0	5	2
b2266	6	4	8	4
b2267	0	0	3	0
b2268	0	0	4	0
b2269	0	0	0	0
b2270	0	0	0	0
b2271	0	0	0	0
b2272	0	0	0	0
b2273	0	0	0	0
b2274	0	0	0	0
b2275	0	0	0	0
b2276	3	0	13	5
b2277	2	2	8	5
b2278	3	1	14	3
b2279	0	0	1	1
b2280	3	0	5	3
b2281	1	1	3	1
b2282	1	0	5	0
b2283	0	0	9	2
b2284	2	0	3	2
b2285	0	0	2	1
b2286	2	0	6	2
b2287	1	0	1	2
b2288	6	1	9	3
b2289	8	2	26	7
b2290	1	1	2	1
b2291	0	0	1	0
b2292	0	0	9	2
b2293	9	3	22	6
b2294	1	1	20	2
b2295	5	1	7	1
b2296	20	8	80	19
b2297	9	2	76	32
b2298	0	0	1	0
b2299	7	1	25	5
b2300	3	2	30	3
b2301	0	1	1	2
b2302	0	0	0	1
b2303	1	0	10	2
b2304	10	2	50	17
b2305	0	1	2	2
b2306	0	0	2	0
b2307	2	1	2	0
b2308	3	0	2	1
b2309	4	2	22	5
b2310	4	2	27	5
b2311	1	1	8	2
b2312	12	3	58	20
b2313	70	17	197	65
b2314	10	5	23	11
b2315	6	1	16	6
b2316	56	19	254	67
b2317	9	1	24	5
b2318	5	1	41	5
b2319	9	3	25	11
b2320	9	2	39	13
b2321	0	0	1	1
b2322	2	0	7	1
b2323	54	18	261	111
b2324	0	3	6	1
b2325	0	0	0	0
b2326	2	1	2	0
b2327	0	0	0	1
b2328	2	0	4	0
b2329	8	2	29	10
b2330	9	2	66	25
b2331	1	0	5	2
b2332	0	0	2	0
b2333	0	0	0	0
b2334	0	0	0	0
b2335	0	0	0	0
b2336	0	0	1	0
b2339	0	0	0	0
b2340	19	2	81	18
b2341	0	0	1	0
b2342	1	0	0	0
b2343	3	1	24	4
b2344	3	1	6	1
b2345	0	0	1	0
b2346	11	5	57	22
b2347	0	0	0	0
b2349	0	0	0	0
b2350	1	0	3	0
b2351	2	1	0	1
b2352	0	0	0	0
b2354	0	0	1	0
b2355	0	0	0	0
b2356	0	0	0	0
b2357	0	0	0	0
b2358	0	0	0	0
b2359	0	0	0	0
b2360	0	0	1	0
b2361	0	0	0	0
b2362	0	0	0	0
b2363	0	0	0	0
b2364	0	0	0	0
b2365	0	0	1	0
b2366	0	0	0	1
b2367	0	0	0	0
b2368	0	0	0	0
b2369	1	1	2	0
b2370	0	0	1	0
b2371	0	0	0	0
b2372	0	0	1	0
b2373	0	0	1	0
b2374	0	0	0	0
b2375	0	0	2	0
b2376	0	0	0	0
b2377	0	0	2	0
b2378	7	2	11	5
b2379	1	0	13	2
b2380	0	0	1	0
b2381	0	0	2	1
b2382	1	0	0	0
b2383	1	0	0	0
b2384	0	0	0	0
b2385	0	0	0	0
b2386	0	0	0	0
b2387	0	0	0	0
b2388	3	3	10	4
b2389	0	0	0	0
b2390	1	0	0	0
b2392	79	37	13	14
b2393	1	2	0	1
b2394	0	0	0	0
b2395	0	0	1	0
b2398	1	0	2	0
b2399	0	0	0	0
b2400	21	10	63	19
b2405	0	0	2	1
b2406	1	0	1	0
b2407	0	0	0	0
b2408	0	0	1	0
b2409	1	0	1	1
b2410	3	0	6	4
b2411	6	1	10	6
b2412	12	7	43	9
b2413	6	0	11	5
b2414	44	18	251	88
b2415	21	8	80	25
b2416	30	9	160	40
b2417	45	12	128	32
b2418	4	2	9	3
b2419	0	0	0	0
b2420	0	0	0	0
b2421	3	2	19	9
b2422	6	0	45	27
b2423	2	4	13	3
b2424	0	0	7	4
b2425	2	1	31	11
b2426	0	2	2	0
b2427	0	0	1	0
b2428	0	1	0	0
b2429	0	0	2	0
b2430	1	0	1	0
b2431	12	4	32	11
b2432	1	0	4	5
b2433	4	2	7	7
b2434	4	2	19	10
b2435	0	1	5	0
b2436	0	0	1	0
b2437	0	0	0	0
b2438	1	0	2	1
b2439	0	0	0	0
b2440	1	0	2	0
b2441	3	0	0	0
b2442	2	0	0	0
b2443	0	0	0	0
b2444	0	0	0	0
b2445	0	0	0	0
b2446	0	1	0	1
b2447	0	0	0	0
b2448	0	0	0	0
b2449	0	0	0	0
